name,id,objective,speed,state,living_place.id,working_place.id,start_work,end_work,location.x,location.y
People0,0,resting,2.395000205834464,1,212,194,5,18,1578.77166183936,1935.8417011923088
People1,1,resting,2.451837334705444,2,156,129,8,19,1112.5912314578582,1407.0947338213934
People2,2,resting,2.0135841518351367,1,191,31,5,19,1327.2199616730422,35.78291210885318
People3,3,resting,1.7707995252008355,1,193,122,7,18,801.0845426356186,1534.8748486496243
People4,4,resting,3.6627510650120705,1,98,119,8,17,1073.0432348757247,791.1345221474384
People5,5,resting,3.530394593910945,1,149,10,7,17,1272.897318473093,233.20646077727426
People6,6,resting,0.854787994058294,1,246,78,5,19,938.9965550951828,757.8272338770361
People7,7,resting,1.1091434161212133,1,243,56,7,17,321.1374148245022,650.245074350019
People8,8,resting,2.2289361666038894,1,85,222,8,18,1714.0144725986115,171.78704606864704
People9,9,resting,1.0685766467525943,1,22,1,6,16,1637.8022590743026,881.8134191463442
People10,10,resting,3.4563329642742224,0,88,62,7,17,1751.71380153558,76.52362466812747
People11,11,resting,2.8308936027973823,0,65,117,5,17,475.5618805018596,1562.625352942083
People12,12,resting,1.3693673944549178,0,107,67,7,19,1348.8150840896808,1415.6033764893293
People13,13,resting,0.9978094710496433,0,153,253,5,16,995.461170603988,1752.8521519762546
People14,14,resting,2.9989381628260756,0,224,252,7,19,480.1594708167626,1283.040958672156
People15,15,resting,1.5243096122260524,0,227,96,6,17,1193.5688992221674,244.93334910179829
People16,16,resting,3.234558413115638,0,151,73,6,17,836.668063914814,1291.8108451366502
People17,17,resting,2.851032660689755,0,87,205,6,19,1907.2945049809316,139.01237175642126
People18,18,resting,1.9327655200166598,0,132,141,6,16,1567.9099880385425,113.08780456540858
People19,19,resting,3.2378621394092337,0,197,226,6,19,1476.2231199318287,1449.1830824113867
