name,id,speed,state,current_building.id,breeding_site.id,location.x,location.y
mosquitoes0,0,0.27297980925125476,2,38,1,1456.0546619637603,1725.2861169137273
mosquitoes1,1,0.243729874030733,2,7,0,443.7705640348739,1545.330703643779
mosquitoes2,2,0.20993883764484245,2,101,2,1272.6782652429993,722.1093362927687
mosquitoes3,3,0.20932377427486729,2,38,1,1389.4402269138031,1678.0217458246377
mosquitoes4,4,0.2635824995517024,2,38,1,1436.232944919208,1724.9949389364515
mosquitoes5,5,0.1682420098516712,2,39,1,1416.6434962207638,1713.2516498687846
mosquitoes7,7,0.14236585295783047,2,65,0,495.4769732280348,1416.46090725683
mosquitoes8,8,0.23176236626680108,2,136,1,1337.5373507836616,1628.1000540624489
mosquitoes9,9,0.19062092036841702,2,217,2,1468.5686973181048,532.2727285724068
mosquitoes10,10,0.11829298565587562,2,7,0,583.2246429048137,1462.7525807246416
mosquitoes11,11,0.25874838014769547,2,38,1,1399.5771931909153,1635.189157437756
mosquitoes12,12,0.13944254780032805,2,63,0,377.19410959680914,1516.3482603940265
mosquitoes13,13,0.15037137897223835,2,217,2,1471.4995528513434,532.7209337281317
mosquitoes14,14,0.13945075541911975,2,148,2,1531.090081518466,553.6547539783259
mosquitoes15,15,0.1357550528944045,2,63,0,430.0369643746074,1362.726277772292
mosquitoes16,16,0.25814785635745086,2,39,1,1335.8461780924026,1756.2766756406138
mosquitoes17,17,0.1552064006282679,2,217,2,1469.7406238707777,531.8947130670357
mosquitoes18,18,0.19730513923925538,2,63,0,339.00463611719306,1354.5798645448779
mosquitoes19,19,0.23661788011888954,2,136,1,1362.5064207343726,1670.328458217302
mosquitoes20,20,0.12273456696394074,0,65,0,421.14178904760234,1565.4091093371705
mosquitoes21,21,0.2859945010710325,0,38,1,1413.813855416794,1600.152749401312
mosquitoes22,22,0.13076997238863403,0,39,1,1447.2010883779071,1707.368775010686
mosquitoes23,23,0.20930238860826011,0,248,2,1444.2855871866798,576.4111014286053
mosquitoes24,24,0.15030776584895353,0,63,0,330.0920201814816,1371.2653235928915
mosquitoes25,25,0.2025106077308587,0,38,1,1495.4957191438543,1703.5336761913552
mosquitoes26,26,0.12608075344066585,0,136,1,1378.2788474252955,1683.2326314806553
mosquitoes27,27,0.22798253790702327,0,65,0,512.7689471497647,1531.0792226752437
mosquitoes28,28,0.19920222949650496,0,248,2,1447.6668394988696,573.3925603177837
mosquitoes29,29,0.24206544457653412,0,65,0,432.4135145181669,1598.626089280237
mosquitoes30,30,0.2962853484518038,0,131,2,1485.8712847601346,481.05665011236755
mosquitoes31,31,0.17103171546554327,0,7,0,569.3661514397652,1517.3802265401762
mosquitoes32,32,0.12851481391378047,0,102,2,1340.5222362778225,615.6747673416405
mosquitoes34,34,0.2637076073624479,0,248,2,1449.8401764159341,574.7057668038377
mosquitoes35,35,0.2138554826944307,0,101,2,1397.2839234645403,607.7128032812656
mosquitoes37,37,0.15798111253875013,0,101,2,1328.711861975804,602.4688588003669
mosquitoes38,38,0.29051115936038097,0,38,1,1480.8844294524315,1628.0843257266613
mosquitoes39,39,0.18292498223368506,0,65,0,466.0881772265448,1486.1252742926938
mosquitoes40,40,0.19683944340888251,0,248,2,1442.4609382571834,573.2719282669557
mosquitoes41,41,0.21283527803027083,0,136,1,1388.188120568489,1571.4391771796268
mosquitoes42,42,0.16108692085604712,0,38,1,1413.5153777024232,1674.0505964626886
mosquitoes43,43,0.28699151808307793,0,131,2,1397.7819813585977,511.8470722981574
